capture_id,captured_at_utc,capture_date_utc,platform,timeframe_days,sort,direction,min_trades,min_days,source_url,method,status,row_count,raw_path,raw_sha256,page_text_sha256,parser_version,error,schema_version,raw_json_path,raw_json_sha256,capture_role,notes,prev_hash,row_hash
fomo-30d-20260918T184549Z-3bac2ee9,2026-09-18T18:45:49Z,2026-09-18,fomo,30,realized,desc,20,3,https://www.solanatracker.io/dapi/v2/pnl/leaderboard/top?sort=realized&direction=desc&days=30&minTrades=20&minDays=3&platform=fomo,playwright-chrome-headed,OK,,raw/2026-09-18/fomo-30d-20260918T184549Z-3bac2ee9.html,7a2b5fb65450b942dc13130ad22fe46fa2aa26560a3bd9deb979b0aa80e21b23,,0.1.0,,,,,,,0000000000000000000000000000000000000000000000000000000000000000,ae7a1c77e01e7dc549a932dcb1c9b1b32ade9008b0540d0960344b1de8ce4d84
fomo-30d-20260918T184607Z-fd50180a,2026-09-18T18:46:07Z,2026-09-18,fomo,30,realized,desc,20,3,https://www.solanatracker.io/dapi/v2/pnl/leaderboard/top?sort=realized&direction=desc&days=30&minTrades=20&minDays=3&platform=fomo,playwright-chrome-headed,OK,,raw/2026-09-18/fomo-30d-20260918T184607Z-fd50180a.html,d58bdb6f319e7324e63c6038e958a6468f06944fac4884329fe2ce209b6a8778,,0.1.0,,,,,,,ae7a1c77e01e7dc549a932dcb1c9b1b32ade9008b0540d0960344b1de8ce4d84,efdfa292359e5ea8654d7c78ffb008cc63a26ca719a97767a22a75f612413b80
fomo-30d-20260918T185034Z-5766e3a9,2026-09-18T18:50:34Z,2026-09-18,fomo,30,realized,desc,20,3,https://www.solanatracker.io/dapi/v2/pnl/leaderboard/top?sort=realized&direction=desc&days=30&minTrades=20&minDays=3&platform=fomo,playwright-chrome-headed,OK,,raw/2026-09-18/fomo-30d-20260918T185034Z-5766e3a9.html,797a9e1efb3c3e023bc04c28bbd709190fc1d57359d09042b9cffb8f902454b9,,0.1.0,,,,,,,efdfa292359e5ea8654d7c78ffb008cc63a26ca719a97767a22a75f612413b80,9cb8c73a380f1326d573e0ca0c5fe90cc1f329d5087263e85e8df2362ea357f7
fomo-30d-20260918T185058Z-b8bf4b61,2026-09-18T18:50:58Z,2026-09-18,fomo,30,realized,desc,20,3,https://www.solanatracker.io/dapi/v2/pnl/leaderboard/top?sort=realized&direction=desc&days=30&minTrades=20&minDays=3&platform=fomo,playwright-chrome-headed,OK,,raw/2026-09-18/fomo-30d-20260918T185058Z-b8bf4b61.html,88d57e7837641b390856f7b25442e79d788dd38430d4e8c28a08944a4e2228c2,,0.1.0,,,,,,,9cb8c73a380f1326d573e0ca0c5fe90cc1f329d5087263e85e8df2362ea357f7,f9ca9e4c5d852d3c26aad73d224184a5c5a073ae82e04cce9d3182f11ae5941b
fomo-30d-20260918T190836Z-6e52c725,2026-09-18T19:08:36Z,2026-09-18,fomo,30,realized,desc,20,3,https://www.solanatracker.io/dapi/v2/pnl/leaderboard/top?sort=realized&direction=desc&days=30&minTrades=20&minDays=3&platform=fomo,playwright-chrome-headed,OK,,raw/2026-09-18/fomo-30d-20260918T190836Z-6e52c725.html,623197aef124017387b41bb58b0b257ad13b25f9a9df35fc4c0df7bfb76f936e,,0.1.0,,2,raw/2026-09-18/fomo-30d-20260918T190836Z-6e52c725.json,930f86682ff1c92f8f82d14c594f9847213babb514aa24e63946bbf507ad68ff,,,f9ca9e4c5d852d3c26aad73d224184a5c5a073ae82e04cce9d3182f11ae5941b,3af6a5768f266ea78da0cd84a419b385772e4cccc81c3aa32b1ae17fb7117858
fomo-30d-20260918T191157Z-ec8d513b,2026-09-18T19:11:57Z,2026-09-18,fomo,30,realized,desc,20,3,https://www.solanatracker.io/dapi/v2/pnl/leaderboard/top?sort=realized&direction=desc&days=30&minTrades=20&minDays=3&platform=fomo,playwright-chrome-headed,OK,,raw/2026-09-18/fomo-30d-20260918T191157Z-ec8d513b.html,5364e16300fe9bbd46ddaaa8b178986fd48a736770661262831a2514d28f3b9d,,0.1.0,,2,raw/2026-09-18/fomo-30d-20260918T191157Z-ec8d513b.json,930f86682ff1c92f8f82d14c594f9847213babb514aa24e63946bbf507ad68ff,,,3af6a5768f266ea78da0cd84a419b385772e4cccc81c3aa32b1ae17fb7117858,b0611a89b57a962aa648d25cb73f6322a5391603de4e0dde3692d529f366206c
fomo-30d-20260918T191157Z-e06152b6,2026-09-18T19:11:57Z,2026-09-18,fomo,30,realized,desc,20,3,https://www.solanatracker.io/dapi/v2/pnl/leaderboard/top?sort=realized&direction=desc&days=30&minTrades=20&minDays=3&platform=fomo,playwright-chrome-headed,OK,,raw/2026-09-18/fomo-30d-20260918T191157Z-e06152b6.html,8c6cb9f8f6494f2e0b71c5dcdc67b0d1913c29e490eba5eddd905e0505d30185,,0.1.0,,2,raw/2026-09-18/fomo-30d-20260918T191157Z-e06152b6.json,930f86682ff1c92f8f82d14c594f9847213babb514aa24e63946bbf507ad68ff,,,b0611a89b57a962aa648d25cb73f6322a5391603de4e0dde3692d529f366206c,f8d6ab03cd37dec4aaa1bf9d482cc8b60ea30b040a3223bac482c5321468a0e4
fomo-30d-20260918T192110Z-a8809b99,2026-09-18T19:21:10Z,2026-09-18,fomo,30,realized,desc,20,3,https://www.solanatracker.io/dapi/v2/pnl/leaderboard/top?sort=realized&direction=desc&days=30&minTrades=20&minDays=3&platform=fomo,playwright-chrome-headed,OK,,raw/2026-09-18/fomo-30d-20260918T192110Z-a8809b99.html,48a20719ed5c6b71ee1a4241610ddc366414faa2d0ace09e63c944b2922e2460,,0.1.0,,2,raw/2026-09-18/fomo-30d-20260918T192110Z-a8809b99.json,930f86682ff1c92f8f82d14c594f9847213babb514aa24e63946bbf507ad68ff,,,f8d6ab03cd37dec4aaa1bf9d482cc8b60ea30b040a3223bac482c5321468a0e4,7afbeb07ae8147b140aea7d8634927f5a60da8dd493c4d1efcf5022390da5d29
fomo-30d-20260918T194201Z-cac05349,2026-09-18T19:42:01Z,2026-09-18,fomo,30,realized,desc,20,3,https://www.solanatracker.io/dapi/v2/pnl/leaderboard/top?sort=realized&direction=desc&days=30&minTrades=20&minDays=3&platform=fomo,playwright-chrome-headed,OK,,raw/2026-09-18/fomo-30d-20260918T194201Z-cac05349.html,98c493e441dd95213270b8aefefbfbce2de21dbabe89e63ee17d8ba340660008,,0.1.0,,2,raw/2026-09-18/fomo-30d-20260918T194201Z-cac05349.json,930f86682ff1c92f8f82d14c594f9847213babb514aa24e63946bbf507ad68ff,,,7afbeb07ae8147b140aea7d8634927f5a60da8dd493c4d1efcf5022390da5d29,ec227f2a06363adf2e52fdb85e3ece0148e149537a35d0da76b9fac4b557a98c
fomo-30d-20260918T194215Z-a14d68b1,2026-09-18T19:42:15Z,2026-09-18,fomo,30,realized,desc,20,3,https://www.solanatracker.io/dapi/v2/pnl/leaderboard/top?sort=realized&direction=desc&days=30&minTrades=20&minDays=3&platform=fomo,playwright-chrome-headed,OK,,raw/2026-09-18/fomo-30d-20260918T194215Z-a14d68b1.html,8e257687760cbf33da82cf4ea5c38c5545afcb2699e5d124194bb5ea458b2049,,0.1.0,,2,raw/2026-09-18/fomo-30d-20260918T194215Z-a14d68b1.json,930f86682ff1c92f8f82d14c594f9847213babb514aa24e63946bbf507ad68ff,,,ec227f2a06363adf2e52fdb85e3ece0148e149537a35d0da76b9fac4b557a98c,8cfaf3cf6cc26f3cbe102108f2fa765835e18b6441d2c250311e7bfebff5b644
fomo-30d-20260918T194305Z-58fe06de,2026-09-18T19:43:05Z,2026-09-18,fomo,30,realized,desc,20,3,https://www.solanatracker.io/dapi/v2/pnl/leaderboard/top?sort=realized&direction=desc&days=30&minTrades=20&minDays=3&platform=fomo,playwright-chrome-headed,OK,,raw/2026-09-18/fomo-30d-20260918T194305Z-58fe06de.html,d658485c8549b3662e3ba6516d0b40684d638b6aee2280c14bb058e8b1154d72,,0.1.0,,2,raw/2026-09-18/fomo-30d-20260918T194305Z-58fe06de.json,930f86682ff1c92f8f82d14c594f9847213babb514aa24e63946bbf507ad68ff,,,8cfaf3cf6cc26f3cbe102108f2fa765835e18b6441d2c250311e7bfebff5b644,2efc1e9d4ca114d83e431352ac8cbbcc993801753ef15952bab0f07860b073d5
fomo-1d-20260918T201919Z-5bb68233,2026-09-18T20:19:19Z,2026-09-18,fomo,1,realized,desc,5,1,https://www.solanatracker.io/dapi/v2/pnl/leaderboard/top?sort=realized&direction=desc&days=1&minTrades=5&minDays=1&platform=fomo,playwright-chrome-headed,OK,,raw/2026-09-18/fomo-1d-20260918T201919Z-5bb68233.html,b89c7b7b1fa868c3ee6f701442b295493ca23ddca55dafd00c00f7c022e51b4f,,0.1.0,,2,raw/2026-09-18/fomo-1d-20260918T201919Z-5bb68233.json,3b6314118e4c43af2b5e223378064f9cca5ec6403df7301d7ae39ecec00b056f,,,2efc1e9d4ca114d83e431352ac8cbbcc993801753ef15952bab0f07860b073d5,c1d151d2cbd1462a50364191e866f2cac42983f341cac3ecb2bd4a1a70dcb162
